Alpine,VIC,storm,flood,bushfire,tornado
Ararat,VIC,storm,flood,bushfire,none
Ballarat,VIC,storm,flood,bushfire,none
Banyule,VIC,storm,flood,none,none
Bass Coast,VIC,storm,flood,bushfire,none
Baw Baw,VIC,storm,flood,bushfire,none
Bayside,VIC,storm,flood,none,none
Benalla,VIC,storm,flood,bushfire,tornado
Boroondara,VIC,storm,flood,none,none
Buloke,VIC,storm,flood,none,none
Campaspe,VIC,storm,flood,bushfire,none
Cardinia,VIC,storm,flood,bushfire,none
Casey,VIC,storm,flood,bushfire,none
Central Goldfields,VIC,storm,flood,none,none
Colac Otway,VIC,storm,flood,bushfire,none
Corangamite,VIC,storm,flood,bushfire,none
Darebin,VIC,storm,flood,none,none
East Gippsland,VIC,storm,flood,bushfire,none
Frankston,VIC,storm,flood,none,none
Gannawarra,VIC,storm,flood,none,none
Geelong,VIC,storm,flood,none,none
Gippsland,VIC,storm,flood,none,none
Glen Eira,VIC,storm,flood,none,none
Glenelg,VIC,storm,flood,bushfire,none
Golden Plains,VIC,storm,flood,bushfire,none
Greater Bendigo,VIC,storm,flood,bushfire,none
Greater Dandenong,VIC,storm,flood,bushfire,none
Greater Geelong,VIC,storm,flood,none,none
Greater Shepparton,VIC,storm,flood,none,tornado
Hepburn,VIC,storm,flood,bushfire,none
Hindmarsh,VIC,storm,flood,bushfire,none
Hobsons Bay,VIC,storm,flood,none,none
Horsham,VIC,storm,flood,bushfire,none
Hume,VIC,storm,flood,bushfire,none
Indigo,VIC,storm,flood,bushfire,tornado
Kingston,VIC,storm,flood,bushfire,none
Knox,VIC,storm,flood,bushfire,none
Lake Mountain Alpine Resort,VIC,none,none,bushfire,none
Latrobe,VIC,storm,flood,bushfire,none
Loddon,VIC,storm,flood,none,none
Macedon Ranges,VIC,storm,flood,bushfire,none
Manningham,VIC,storm,flood,none,none
Mansfield,VIC,storm,flood,bushfire,none
Maribyrnong,VIC,storm,flood,none,none
Maroondah,VIC,storm,flood,none,none
Melbourne,VIC,storm,flood,none,none
Melton,VIC,storm,flood,none,none
Mildura,VIC,storm,flood,bushfire,none
Mitchell,VIC,storm,flood,bushfire,none
Moira,VIC,storm,flood,bushfire,none
Monash,VIC,storm,flood,none,none
Moonee Valley,VIC,storm,flood,none,none
Moorabool,VIC,storm,flood,bushfire,none
Moreland,VIC,storm,flood,none,none
Moria,VIC,storm,flood,none,none
Mornington Peninsula,VIC,storm,flood,bushfire,none
Mount Alexander,VIC,storm,flood,bushfire,none
Moyne,VIC,storm,flood,bushfire,none
Murrindindi,VIC,storm,flood,bushfire,none
Nillumbik,VIC,storm,flood,bushfire,none
Northern Grampians,VIC,storm,flood,bushfire,none
Port Phillip,VIC,storm,flood,none,none
Pyrenees,VIC,storm,flood,bushfire,none
Queenscliffe,VIC,storm,flood,none,none
South Gippsland,VIC,storm,flood,bushfire,none
Southern Grampians,VIC,storm,flood,bushfire,none
Stonnington,VIC,storm,flood,none,none
Strathbogie,VIC,storm,flood,bushfire,tornado
Surf Coast,VIC,storm,flood,bushfire,none
Swan Hill,VIC,storm,flood,none,none
Towong,VIC,storm,flood,bushfire,none
Wangaratta,VIC,storm,flood,bushfire,none
Warrnambool,VIC,storm,flood,bushfire,none
Wellington,VIC,storm,flood,bushfire,none
West Wimmera,VIC,storm,flood,bushfire,none
Whittlesea,VIC,storm,flood,bushfire,none
Wodonga,VIC,storm,flood,bushfire,tornado
Wyndham,VIC,storm,flood,none,none
Yarra,VIC,storm,flood,none,none
Yarra Ranges,VIC,storm,flood,bushfire,none
Yarriambiack,VIC,storm,flood,bushfire,none
